Date;Platform;build_version;client_id;outcome;experience_points
2015-12-08;PC;1.0.2;pczzdp11e6p;win;295.636307719246
2015-11-14;PS4;1.0.1;p231ep4ebbp;win;510.737943121734
2015-11-26;PS4;1.0.1;p1321p488fp;win;333.307999178813
2015-12-03;PC;1.0.1;pzda4p4z98p;win;542.839918895765
2015-11-22;PC;1.0.1;pe8e7p40a9p;win;381.683084141279
2015-12-04;PC;1.0.2;p9873p11e7p;lose;268.443362863322
2015-11-30;PC;1.0.1;p873fp11e7p;lose;443.104473458243
2015-11-25;PC;1.0.1;pcz10p11e6p;win;364.537494200619
2015-12-12;PS4;1.0.2;p03b9p48f3p;win;503.074785585874
2015-11-17;PC;1.0.1;p2be0p4db2p;win;356.682631375573
2015-11-31;PS4;1.0.1;pb774p429bp;win;439.784330245381
2015-12-08;PS4;1.0.2;p92zbp11e7p;win;487.088124819614
2015-12-04;PC;1.0.2;p2ezzp4498p;lose;374.636804921869
2015-11-24;PC;1.0.1;p4204p11e7p;lose;467.328193585556
2015-11-15;PC;1.0.1;pd478p4927p;lose;258.186094157041
2015-11-18;PC;1.0.1;p9871p11e7p;lose;262.333879618762
2015-12-01;PC;1.0.1;p980bp11e7p;win;298.378901289538
2015-11-17;PC;1.0.1;pcbc2p11e6p;lose;296.017856901301
2015-12-02;PS4;1.0.1;pb00ap4809p;win;348.782152453389
2015-12-05;PC;1.0.2;pc02zp11e6p;win;530.784278221584
2015-11-29;PC;1.0.1;pzb1cp49zfp;lose;365.876666498148
2015-11-17;PC;1.0.1;p4942p4396p;lose;411.920266621591
2015-11-31;PS4;1.0.1;pe9a6p4db2p;win;385.461241199899
2015-12-07;PS4;1.0.2;p84e3p423dp;lose;324.820083975136
2015-11-21;PC;1.0.1;p6f0cp11e7p;lose;352.637138939971
2015-12-11;PS4;1.0.2;pz8e6p462ap;lose;368.469182857613
2015-12-11;PC;1.0.2;p16dbp4e30p;lose;470.794192290514
2015-12-06;PC;1.0.2;pbe1bp11e6p;lose;466.420153632146
2015-12-09;PS4;1.0.2;p6909p11e7p;win;478.663733834062
2015-12-08;PC;1.0.2;pe230p4161p;win;524.498990809841
2015-11-24;PC;1.0.1;pc14ap11e6p;win;442.969653040816
2015-12-05;PC;1.0.2;pad4cp4z2dp;win;462.629966497966
2015-12-06;PS4;1.0.2;pfcfzp4z4dp;lose;482.414999238439
2015-11-14;PC;1.0.1;p881ap47b3p;lose;522.103867984088
2015-12-08;PC;1.0.2;p9a19p11e7p;win;602.666909347479
2015-12-04;PC;1.0.2;pc7bap11e6p;lose;546.644778521583
2015-11-30;PC;1.0.1;p38c8p4d6dp;win;421.647026963162
2015-12-08;PC;1.0.2;pc1z9p11e6p;win;592.720295132427
2015-11-19;PS4;1.0.1;p8az7p11e7p;lose;382.835063364681
2015-11-16;PC;1.0.1;pbe18p11e6p;lose;356.616473059696
2015-12-07;PS4;1.0.2;pzdd6p11e7p;win;412.408538917836
2015-11-28;PS4;1.0.1;p9dbzp11e7p;win;358.063146487936
2015-11-17;PC;1.0.1;p6fbbp476zp;lose;493.182302793365
2015-11-31;PC;1.0.1;pc2bcp11e6p;win;503.59301825796
2015-12-12;PC;1.0.2;p3b8dp4d96p;lose;399.274823457207
2015-12-05;PC;1.0.2;pczzdp11e6p;win;362.946735121253
2015-11-21;PS4;1.0.1;p1z04p4zb0p;lose;479.629944566594
2015-12-05;PC;1.0.2;p9f99p11e7p;win;600.300834155487
2015-11-18;PC;1.0.1;pc461p11e6p;win;431.984839766645
2015-12-10;PC;1.0.2;pa6e6p11e7p;lose;343.01217011339
2015-12-04;PC;1.0.2;pa8e1p4611p;win;512.496175270614
2015-11-28;PC;1.0.1;pb676p4768p;win;432.282792747848
2015-11-26;PC;1.0.1;pbd92p11e6p;lose;391.610243073061
2015-11-22;PC;1.0.1;p08bap4f1ep;lose;474.198226406116
2015-12-10;PS4;1.0.2;p83ffp4cd1p;lose;436.620811680504
2015-12-06;PS4;1.0.2;pz796p11e7p;win;403.69382284797
2015-12-08;PS4;1.0.2;p84e3p423dp;win;534.612557804747
2015-12-12;PC;1.0.2;pbe02p11e6p;lose;521.667282376905
2015-11-22;PS4;1.0.1;pz3dbp11e7p;lose;291.096229549346
2015-12-07;PS4;1.0.2;pe989p4e07p;lose;298.330600519111
2015-11-20;PC;1.0.1;p20d4p440fp;win;375.220090018643
2015-12-07;PC;1.0.2;p9961p11e7p;win;379.67689200772
2015-11-13;PC;1.0.1;pez1cp4z9cp;lose;278.328953359189
2015-12-01;PS4;1.0.1;p92zbp11e7p;win;510.423086354826
2015-12-04;PS4;1.0.2;p7d9ep11e7p;lose;388.243141397504
