store_item_name;client_id;Date;dollar_spent
pack_a;pac2dp471ap;2015-12-02;0.99
pack_a;p6718p11e7p;2015-12-08;0.99
bundle_9;pczbap4facp;2015-11-23;18.5
pack_a;p606cp4fe8p;2015-11-25;0.99
pack_b;pc06ep11e6p;2015-11-18;1.2
pack_c;pc8b8p4694p;2015-11-14;1.99
pack_e;p7d9ep11e7p;2015-12-07;5
bundle_8;p9adzp11e7p;2015-12-11;18.5
bundle_8;pbdf4p11e6p;2015-11-23;18.5
pack_c;pbf0cp11e6p;2015-11-23;1.99
pack_a;pc2e0p11e6p;2015-11-12;0.99
bundle_9;p7dcfp44z3p;2015-12-04;18.5
pack_a;pd966p486ap;2015-11-20;0.99
pack_a;p8zz8p466dp;2015-11-22;0.99
pack_d;pc69fp11e6p;2015-12-06;2.5
pack_a;pe3b0p4daap;2015-11-14;0.99
pack_a;p0c46p487ap;2015-12-02;0.99
pack_b;pc43dp47e2p;2015-11-17;1.2
pack_a;p7d48p4198p;2015-11-21;0.99
pack_a;p12a0p436dp;2015-12-09;0.99
pack_b;p8103p11e7p;2015-11-26;1.2
pack_a;p8ze6p4f6bp;2015-12-10;0.99
pack_a;pc7bap11e6p;2015-11-14;0.99
pack_a;p3329p46f7p;2015-11-28;0.99
pack_b;p7af9p47b2p;2015-11-21;1.2
pack_c;p294ep11e7p;2015-12-10;1.99
pack_a;p6179p11e7p;2015-11-20;0.99
pack_a;p34fcp11e7p;2015-12-08;0.99
pack_a;p88z6p11e7p;2015-11-19;0.99
pack_b;p2d33p4zb8p;2015-12-04;1.2
bundle_1;pe4f7p4462p;2015-11-24;15.99
pack_b;pedbzp442cp;2015-12-03;1.2
pack_b;p906cp4c6fp;2015-11-25;1.2
pack_c;p34dep4b13p;2015-11-22;1.99
pack_c;p6fc1p11e7p;2015-11-28;1.99
pack_a;pcd7cp4fb3p;2015-11-31;0.99
pack_d;p9827p4272p;2015-11-14;2.5
pack_d;p2b93p4e9ap;2015-12-11;2.5
pack_a;pa4d6p40b0p;2015-12-02;0.99
bundle_3;pe243p11e6p;2015-11-26;21.99
pack_a;pd119p48bzp;2015-11-21;0.99
bundle_9;pcz73p4f2bp;2015-11-22;18.5
pack_c;p13bdp49bfp;2015-11-17;1.99
pack_c;p7e0ap40dbp;2015-11-15;1.99
pack_a;pa490p11e7p;2015-11-24;0.99
pack_b;pz186p11e7p;2015-12-02;1.2
bundle_10;p14ezp11e7p;2015-11-19;18.5
pack_b;p77azp11e7p;2015-11-27;1.2
pack_e;pb1b3p4z42p;2015-11-25;5
pack_a;p9a7ep11e7p;2015-11-24;0.99
pack_c;pa0czp4dcep;2015-11-28;1.99
pack_c;p73c9p494cp;2015-11-15;1.99
pack_c;pac2dp471ap;2015-11-24;1.99
pack_e;pz48zp4db0p;2015-11-25;5
pack_a;p3az9p4a4ep;2015-12-04;0.99
pack_a;p1ec0p461cp;2015-12-08;0.99
pack_a;pecc2p4zc2p;2015-11-21;0.99
pack_e;pa4dcp11e7p;2015-12-03;5
pack_c;p94d8p44bap;2015-11-17;1.99
pack_c;paa3cp4ac6p;2015-12-05;1.99
bundle_1;p34e0p4c14p;2015-12-08;15.99
pack_a;p9b11p11e7p;2015-12-03;0.99
